2	4	2	2	수C
2	4	2	3	지학
2	4	2	4	지학
2	4	2	5	영A
2	4	2	6	정보
2	4	2	7	동아리
2	4	3	1	화A
2	4	3	2	화A
2	4	3	3	영A
2	4	3	4	사A
2	4	3	5	수B
2	4	3	6	독A
2	4	3	7	독A
2	4	4	1	수A
2	4	4	2	정보
2	4	4	3	화B
2	4	4	4	체육
2	4	4	5	수B
2	4	4	6	생명
2	4	4	7	생명
2	4	5	1	물A
2	4	5	2	물A
2	4	5	3	영B
2	4	5	4	지학
2	4	5	5	진로
2	4	5	6	사B
2	4	5	7	수B
3	1	1	1	국사
3	1	1	2	수C
3	1	1	3	선택1
3	1	1	4	선택1
3	1	1	5	경제
3	1	1	6	봉사
3	1	1	7	자율
3	1	2	1	수D
3	1	2	2	중국어
3	1	2	3	수C
3	1	2	4	경제
3	1	2	5	선택2
3	1	2	6	선택2
3	1	2	7	동아리
3	1	3	1	진로
3	1	3	2	국사
3	1	3	3	선택1
3	1	3	4	선택1
3	1	3	5	수B
3	1	3	6	영어
3	1	4	1	중국어
3	1	4	2	수D
3	1	4	3	논술
3	1	4	4	논술
3	1	4	5	생명
3	1	4	6	체육
3	1	5	1	수A
3	1	5	2	체육
3	1	5	3	선택2
3	1	5	4	선택2
3	1	5	5	국사
3	1	5	6	영어
3	2	1	1	영어
3	2	1	2	수D
3	2	1	3	선택1
3	2	1	4	선택1
3	2	1	5	수A
3	2	1	6	봉사
3	2	1	7	자율
3	2	2	1	중국어
3	2	2	2	경제
3	2	2	3	논술
3	2	2	4	논술
3	2	2	5	선택2
3	2	2	6	선택2
3	2	2	7	동아리
3	2	3	1	생명
3	2	3	2	수D
3	2	3	3	선택1
3	2	3	4	선택1
3	2	3	5	국사
3	2	3	6	경제
3	2	4	1	국사
3	2	4	2	체육
3	2	4	3	수B
3	2	4	4	중국어
3	2	4	5	수C
3	2	4	6	진로
3	2	5	1	국사
3	2	5	2	영어
3	2	5	3	선택2
3	2	5	4	선택2
3	2	5	5	체육
3	2	5	6	수C
3	3	1	1	경제
3	3	1	2	국사
3	3	1	3	선택1
3	3	1	4	선택1
3	3	1	5	수B
3	3	1	6	봉사
3	3	1	7	자율
3	3	2	1	진로
3	3	2	2	수D
3	3	2	3	영어
3	3	2	4	중국어
3	3	2	5	선택2
3	3	2	6	선택2
3	3	2	7	동아리
3	3	3	1	논술
3	3	3	2	논술
3	3	3	3	선택1
3	3	3	4	선택1
3	3	3	5	영어
3	3	3	6	수C
3	3	4	1	수C
3	3	4	2	국사
3	3	4	3	중국어
3	3	4	4	경제
3	3	4	5	체육
3	3	4	6	생명
3	3	5	1	체육
3	3	5	2	국사
3	3	5	3	선택2
3	3	5	4	선택2
3	3	5	5	수A
3	3	5	6	수D
3	4	1	1	생명
3	4	1	2	경제
3	4	1	3	선택1
3	4	1	4	선택1
3	4	1	5	영어
3	4	1	6	봉사
3	4	1	7	자율
3	4	2	1	영어
3	4	2	2	수C
3	4	2	3	중국어
3	4	2	4	국사
3	4	2	5	선택2
3	4	2	6	선택2
3	4	2	7	동아리
3	4	3	1	수D
3	4	3	2	수A
3	4	3	3	선택1
3	4	3	4	선택1
3	4	3	5	진로
3	4	3	6	국사
3	4	4	1	체육
3	4	4	2	중국어
3	4	4	3	경제
3	4	4	4	수B
3	4	4	5	국사
3	4	4	6	수C
3	4	5	1	논술
3	4	5	2	논술
3	4	5	3	선택2
3	4	5	4	선택2
3	4	5	5	수D
3	4	5	6	체육
